feature,importance
dys_long_pauses_per_min,2.7704958889246485
lex_phones_std,2.6503430209086702
den_determiners,2.2637668596871157
dys_pauses_per_min,2.206737755457289
dys_fillers_per_min,1.6632836580084351
den_prepositions,1.1414238799253338
lex_ttr,1.139716497709656
dys_fillers_per_phone,0.8899560036454629
dys_fillers_per_word,0.664582418798022
den_words_utt_skew,0.3816192004516341
den_adjectives,0.343452613301237
den_phones_utt_mad,0.33781322717102974
poslm_bo_bigram_ppl_mean,0.32835270355716906
den_function_words,0.29108226449936725
poslm_bo_bigram_ce_min,0.2776861900854578
dys_short_pauses_per_min,0.24993693241406345
den_phones_per_min,0.24827570378856204
lex_phones_skew,0.24540411580379762
dys_pause_sec_max,0.22574696419895762
dys_pause_sec_skew,0.22480120207933768
den_phones_utt_q3,0.15227621845558495
poslm_bo_bigram_ce_mean,0.14074257404307025
poslm_bo_trigram_ce_q1,0.137331650964769
den_words_utt_median,0.12025457106961208
den_noun_ratio,0.1148280573466326
den_words_utt_std,0.11364532854612815
dys_pause_sec_std,0.10963482421102007
den_phones_utt_q1,0.1037015991459375
poslm_bo_bigram_ppl_median,0.09133872300731427
poslm_bo_bigram_ce_max,0.08442186223408929
den_words_utt_q1,0.08388350139399621
poslm_bo_bigram_ce_p99,0.06703530019528717
den_phones_utt_iqr,0.057292971769355286
poslm_bo_trigram_ce_median,0.053865443124251844
poslm_bo_bigram_ce_q1,0.049382064113726365
poslm_bo_bigram_ce_p1,0.03563633074158723
den_verbs,0.03182821089966954
den_words_per_min,0.018644430755334777
lex_phones_max,0.011716451358336048
den_demonstratives,0.0
den_nouns_per_verb,0.0
den_nouns,0.0
den_adverbs,0.0
den_OCW,0.0
den_words_utt_p90,0.0
den_words_utt_p10,0.0
den_words_utt_q3,0.0
den_words_utt_iqr,0.0
den_words_utt_mad,0.0
den_words_utt_max,0.0
den_words_utt_mean,0.0
den_words_utt_min,0.0
den_words_utt_kurt,0.0
den_phones_utt_min,0.0
den_phones_utt_median,0.0
den_phones_utt_mean,0.0
den_phones_utt_skew,0.0
den_phones_utt_p90,0.0
den_phones_utt_std,0.0
den_pronoun_ratio,0.0
den_phones_utt_max,0.0
den_phones_utt_kurt,0.0
den_phones_utt_p10,0.0
den_W,0.0
den_light_verbs,0.0
dys_pause_sec_q3,0.0
dys_pause_sec_p10,0.0
dys_pause_sec_p90,0.0
dys_pause_sec_q1,0.0
dys_pause_sec_mad,0.0
dys_pause_sec_median,0.0
dys_pause_sec_min,0.0
dys_pause_sec_mean,0.0
dys_pause_sec_kurt,0.0
dys_pause_sec_iqr,0.0
dys_long_pauses_per_word,0.0
lex_phones_q3,0.0
lex_phones_q1,0.0
lex_phones_p90,0.0
lex_phones_p10,0.0
lex_phones_median,0.0
lex_phones_min,0.0
lex_phones_mean,0.0
lex_phones_mad,0.0
dys_pauses_per_word,0.0
lex_phones_kurt,0.0
lex_phones_iqr,0.0
dys_short_pauses_per_word,0.0
poslm_bo_bigram_ce_iqr,0.0
poslm_bo_bigram_ce_q3,0.0
poslm_bo_bigram_ce_std,0.0
poslm_bo_bigram_ce_median,0.0
poslm_bo_bigram_ce_kurtosis,0.0
poslm_bo_bigram_ce_skewness,0.0
poslm_bo_bigram_ce_range_p1_p99,0.0
poslm_bo_trigram_ce_mean,0.0
poslm_bo_trigram_ce_min,0.0
poslm_bo_trigram_ce_std,0.0
poslm_bo_trigram_ce_q3,0.0
poslm_bo_trigram_ce_max,0.0
poslm_bo_trigram_ce_iqr,0.0
poslm_bo_trigram_ce_p1,0.0
poslm_bo_trigram_ce_p99,0.0
poslm_bo_trigram_ce_range_p1_p99,0.0
poslm_bo_trigram_ce_skewness,0.0
poslm_bo_trigram_ce_kurtosis,0.0
poslm_bo_trigram_ppl_mean,0.0
poslm_bo_trigram_ppl_median,0.0
