feature,importance
lex_phones_std,2.2408514238160646
dys_fillers_per_min,2.098375438167056
dys_fillers_per_word,1.6479365518572233
dys_fillers_per_phone,1.47082245448942
lex_ttr,1.2225411380648938
dys_pause_sec_max,1.112916205240922
den_prepositions,1.0510082510034047
den_determiners,1.0118363019090035
den_adjectives,1.0021406180037662
den_light_verbs,0.7869839653289741
den_W,0.7498150219029251
dys_short_pauses_per_min,0.7072639405632308
den_verbs,0.7021876433795005
dys_long_pauses_per_min,0.6727968393484195
lex_phones_skew,0.5275745021046958
den_function_words,0.43133109274095227
den_words_per_min,0.3969857860142122
den_words_utt_mad,0.39684465299372407
den_phones_utt_q1,0.386817497748153
den_words_utt_q1,0.3583489523500898
den_pronoun_ratio,0.31925835359285964
lex_phones_mean,0.3022814532702367
den_phones_utt_mad,0.24967096624875412
den_nouns_per_verb,0.2265727346911825
den_phones_utt_min,0.22388418020905504
den_words_utt_min,0.210842969000006
den_noun_ratio,0.18963709607492285
dys_pauses_per_min,0.18484661794758997
dys_pause_sec_p10,0.16039672999476032
poslm_bo_bigram_ce_q1,0.1468528131052446
den_phones_utt_skew,0.14596577431267405
den_phones_utt_p10,0.13784311415956033
dys_pause_sec_q3,0.12796809850304314
lex_phones_mad,0.12471170408634176
den_words_utt_skew,0.10873532937949495
dys_pause_sec_q1,0.10820821144030365
dys_pause_sec_skew,0.10629037727967657
dys_pause_sec_p90,0.09103275484291995
den_phones_utt_std,0.07009567467076012
den_nouns,0.06666552692663472
lex_phones_p10,0.06586714133745605
poslm_bo_bigram_ce_median,0.050593254697106405
den_words_utt_kurt,0.04901209082420621
poslm_bo_bigram_ce_p1,0.04801660526215272
dys_pause_sec_mad,0.04788338076575684
dys_pause_sec_min,0.04706670508090384
den_phones_utt_max,0.04596774671633521
den_adverbs,0.04333764141193678
poslm_bo_bigram_ce_min,0.042264045003928545
poslm_bo_bigram_ce_p99,0.04011710325084801
lex_phones_kurt,0.03744081063739095
den_words_utt_max,0.030794879073215396
poslm_bo_bigram_ppl_mean,0.030451159801467724
den_words_utt_iqr,0.02996827328584912
den_phones_utt_q3,0.02249434318244594
den_words_utt_q3,0.012044504928434873
den_OCW,0.0
den_phones_utt_iqr,0.0
den_demonstratives,0.0
den_phones_per_min,0.0
den_words_utt_std,0.0
den_words_utt_p10,0.0
den_words_utt_p90,0.0
den_words_utt_median,0.0
den_words_utt_mean,0.0
den_phones_utt_median,0.0
den_phones_utt_kurt,0.0
den_phones_utt_p90,0.0
den_phones_utt_mean,0.0
dys_pause_sec_median,0.0
dys_pause_sec_std,0.0
dys_pause_sec_mean,0.0
dys_pause_sec_iqr,0.0
dys_long_pauses_per_word,0.0
dys_pause_sec_kurt,0.0
dys_short_pauses_per_word,0.0
lex_phones_q3,0.0
lex_phones_q1,0.0
lex_phones_p90,0.0
lex_phones_min,0.0
lex_phones_median,0.0
dys_pauses_per_word,0.0
lex_phones_iqr,0.0
lex_phones_max,0.0
poslm_bo_bigram_ce_q3,0.0
poslm_bo_bigram_ce_std,0.0
poslm_bo_bigram_ce_mean,0.0
poslm_bo_bigram_ce_iqr,0.0
poslm_bo_bigram_ce_max,0.0
poslm_bo_bigram_ce_range_p1_p99,0.0
poslm_bo_bigram_ce_skewness,0.0
poslm_bo_bigram_ce_kurtosis,0.0
poslm_bo_bigram_ppl_median,0.0
poslm_bo_trigram_ce_mean,0.0
poslm_bo_trigram_ce_std,0.0
poslm_bo_trigram_ce_min,0.0
poslm_bo_trigram_ce_q1,0.0
poslm_bo_trigram_ce_median,0.0
poslm_bo_trigram_ce_q3,0.0
poslm_bo_trigram_ce_max,0.0
poslm_bo_trigram_ce_iqr,0.0
poslm_bo_trigram_ce_p1,0.0
poslm_bo_trigram_ce_p99,0.0
poslm_bo_trigram_ce_range_p1_p99,0.0
poslm_bo_trigram_ce_skewness,0.0
poslm_bo_trigram_ce_kurtosis,0.0
poslm_bo_trigram_ppl_mean,0.0
poslm_bo_trigram_ppl_median,0.0
