feature,importance
dys_long_pauses_per_min,4.140860948926015
lex_phones_std,3.9239047678649386
dys_pauses_per_min,3.0152656305382495
den_determiners,2.9572524328095677
dys_fillers_per_min,1.7286632742642716
poslm_bo_bigram_ce_mean,1.1299649968667722
dys_fillers_per_phone,1.071519492218235
den_phones_utt_std,0.7120515429935148
den_prepositions,0.6282221188857537
lex_ttr,0.6006555190029901
dys_pause_sec_max,0.45403070120578215
den_phones_utt_skew,0.4413963667902481
den_noun_ratio,0.42558572735624206
dys_pause_sec_skew,0.3550348951235635
den_function_words,0.35269381478508643
lex_phones_skew,0.30703341539123297
den_verbs,0.2477314783459482
dys_short_pauses_per_min,0.24580991779697717
den_phones_utt_median,0.14006853051426096
dys_pause_sec_mad,0.0959178100152938
lex_phones_mean,0.061274602362798095
den_adjectives,0.053318345600829174
dys_pause_sec_p90,0.04582318392995714
dys_pause_sec_q3,0.0400121078230276
den_phones_per_min,0.0
den_nouns_per_verb,0.0
den_nouns,0.0
den_phones_utt_kurt,0.0
den_pronoun_ratio,0.0
den_phones_utt_p90,0.0
den_words_per_min,0.0
den_light_verbs,0.0
den_demonstratives,0.0
den_OCW,0.0
den_W,0.0
den_phones_utt_iqr,0.0
den_phones_utt_p10,0.0
den_phones_utt_min,0.0
den_phones_utt_mean,0.0
den_phones_utt_max,0.0
den_phones_utt_q3,0.0
den_phones_utt_q1,0.0
den_phones_utt_mad,0.0
den_adverbs,0.0
den_words_utt_skew,0.0
den_words_utt_std,0.0
den_words_utt_q1,0.0
den_words_utt_q3,0.0
den_words_utt_p90,0.0
den_words_utt_p10,0.0
den_words_utt_median,0.0
den_words_utt_min,0.0
den_words_utt_mad,0.0
den_words_utt_kurt,0.0
den_words_utt_mean,0.0
den_words_utt_max,0.0
den_words_utt_iqr,0.0
dys_pause_sec_mean,0.0
dys_long_pauses_per_word,0.0
dys_pause_sec_median,0.0
dys_pause_sec_std,0.0
dys_pause_sec_q1,0.0
dys_pause_sec_min,0.0
dys_pause_sec_p10,0.0
lex_phones_iqr,0.0
lex_phones_kurt,0.0
dys_pauses_per_word,0.0
dys_short_pauses_per_word,0.0
lex_phones_max,0.0
lex_phones_mad,0.0
lex_phones_min,0.0
lex_phones_median,0.0
lex_phones_p10,0.0
dys_pause_sec_kurt,0.0
dys_pause_sec_iqr,0.0
dys_fillers_per_word,0.0
lex_phones_q3,0.0
lex_phones_q1,0.0
lex_phones_p90,0.0
poslm_bo_bigram_ce_std,0.0
poslm_bo_bigram_ce_min,0.0
poslm_bo_bigram_ce_q1,0.0
poslm_bo_bigram_ce_median,0.0
poslm_bo_bigram_ce_q3,0.0
poslm_bo_bigram_ce_max,0.0
poslm_bo_bigram_ce_iqr,0.0
poslm_bo_bigram_ce_p1,0.0
poslm_bo_bigram_ce_p99,0.0
poslm_bo_bigram_ce_range_p1_p99,0.0
poslm_bo_bigram_ce_skewness,0.0
poslm_bo_bigram_ce_kurtosis,0.0
poslm_bo_bigram_ppl_mean,0.0
poslm_bo_bigram_ppl_median,0.0
poslm_bo_trigram_ce_mean,0.0
poslm_bo_trigram_ce_std,0.0
poslm_bo_trigram_ce_min,0.0
poslm_bo_trigram_ce_q1,0.0
poslm_bo_trigram_ce_median,0.0
poslm_bo_trigram_ce_q3,0.0
poslm_bo_trigram_ce_max,0.0
poslm_bo_trigram_ce_iqr,0.0
poslm_bo_trigram_ce_p1,0.0
poslm_bo_trigram_ce_p99,0.0
poslm_bo_trigram_ce_range_p1_p99,0.0
poslm_bo_trigram_ce_skewness,0.0
poslm_bo_trigram_ce_kurtosis,0.0
poslm_bo_trigram_ppl_mean,0.0
poslm_bo_trigram_ppl_median,0.0
