fold,split,subdataset,count
1,train,acwt,7
1,test,acwt,2
1,train,adler,13
1,test,adler,5
1,train,bu,5
1,test,bu,1
1,train,cmu,2
1,test,cmu,0
1,train,elman,11
1,test,elman,4
1,train,fridriksson,12
1,test,fridriksson,6
1,train,garrett,2
1,test,garrett,0
1,train,kansas,14
1,test,kansas,5
1,train,kempler,1
1,test,kempler,0
1,train,kurland,47
1,test,kurland,16
1,train,mba,0
1,test,mba,1
1,train,mma,9
1,test,mma,4
1,train,msu,10
1,test,msu,3
1,train,scale,29
1,test,scale,10
1,train,star,1
1,test,star,0
1,train,tap,13
1,test,tap,5
1,train,tcu,5
1,test,tcu,1
1,train,thompson,11
1,test,thompson,3
1,train,tucson,14
1,test,tucson,6
1,train,umd,12
1,test,umd,2
1,train,unh,13
1,test,unh,4
1,train,unknown,41
1,test,unknown,15
1,train,whiteside,12
1,test,whiteside,6
1,train,williamson,19
1,test,williamson,4
1,train,wozniak,5
1,test,wozniak,1
1,train,wright,5
1,test,wright,2
2,train,acwt,5
2,test,acwt,4
2,train,adler,13
2,test,adler,5
2,train,bu,5
2,test,bu,1
2,train,cmu,2
2,test,cmu,0
2,train,elman,11
2,test,elman,4
2,train,fridriksson,15
2,test,fridriksson,3
2,train,garrett,1
2,test,garrett,1
2,train,kansas,14
2,test,kansas,5
2,train,kempler,1
2,test,kempler,0
2,train,kurland,47
2,test,kurland,16
2,train,mba,1
2,test,mba,0
2,train,mma,11
2,test,mma,2
2,train,msu,9
2,test,msu,4
2,train,scale,29
2,test,scale,10
2,train,star,1
2,test,star,0
2,train,tap,13
2,test,tap,5
2,train,tcu,6
2,test,tcu,0
2,train,thompson,9
2,test,thompson,5
2,train,tucson,16
2,test,tucson,4
2,train,umd,8
2,test,umd,6
2,train,unh,13
2,test,unh,4
2,train,unknown,44
2,test,unknown,12
2,train,whiteside,14
2,test,whiteside,4
2,train,williamson,17
2,test,williamson,6
2,train,wozniak,5
2,test,wozniak,1
2,train,wright,5
2,test,wright,2
3,train,acwt,8
3,test,acwt,1
3,train,adler,14
3,test,adler,4
3,train,bu,4
3,test,bu,2
3,train,cmu,0
3,test,cmu,2
3,train,elman,12
3,test,elman,3
3,train,fridriksson,14
3,test,fridriksson,4
3,train,garrett,1
3,test,garrett,1
3,train,kansas,15
3,test,kansas,4
3,train,kempler,1
3,test,kempler,0
3,train,kurland,48
3,test,kurland,15
3,train,mba,1
3,test,mba,0
3,train,mma,9
3,test,mma,4
3,train,msu,10
3,test,msu,3
3,train,scale,28
3,test,scale,11
3,train,star,1
3,test,star,0
3,train,tap,15
3,test,tap,3
3,train,tcu,3
3,test,tcu,3
3,train,thompson,11
3,test,thompson,3
3,train,tucson,15
3,test,tucson,5
3,train,umd,12
3,test,umd,2
3,train,unh,12
3,test,unh,5
3,train,unknown,40
3,test,unknown,16
3,train,whiteside,14
3,test,whiteside,4
3,train,williamson,15
3,test,williamson,8
3,train,wozniak,5
3,test,wozniak,1
3,train,wright,5
3,test,wright,2
4,train,acwt,7
4,test,acwt,2
4,train,adler,14
4,test,adler,4
4,train,bu,4
4,test,bu,2
4,train,cmu,2
4,test,cmu,0
4,train,elman,11
4,test,elman,4
4,train,fridriksson,13
4,test,fridriksson,5
4,train,garrett,2
4,test,garrett,0
4,train,kansas,14
4,test,kansas,5
4,train,kempler,0
4,test,kempler,1
4,train,kurland,47
4,test,kurland,16
4,train,mba,1
4,test,mba,0
4,train,mma,10
4,test,mma,3
4,train,msu,10
4,test,msu,3
4,train,scale,31
4,test,scale,8
4,train,star,0
4,test,star,1
4,train,tap,13
4,test,tap,5
4,train,tcu,4
4,test,tcu,2
4,train,thompson,11
4,test,thompson,3
4,train,tucson,15
4,test,tucson,5
4,train,umd,10
4,test,umd,4
4,train,unh,13
4,test,unh,4
4,train,unknown,43
4,test,unknown,13
4,train,whiteside,14
4,test,whiteside,4
4,train,williamson,18
4,test,williamson,5
4,train,wozniak,3
4,test,wozniak,3
4,train,wright,6
4,test,wright,1
