feature,importance
den_nouns,1.416829835289282
den_light_verbs,1.0554412434618505
lex_phones_p99,0.9400149108416074
lex_phones_range01_99,0.8548810623388788
den_nouns_per_verb,0.8517864170133252
lex_phones_std,0.7839401203015
den_adjectives,0.7453999260647739
lex_fam_iqr12,0.6811688067430767
lex_fam_iqr23,0.6292896759642095
lex_fam_skew,0.5096659569641183
den_noun_ratio,0.459788752930076
den_demonstratives,0.42214332200285254
lex_freq_p99,0.40878417495197217
den_words_per_min,0.4075264477046585
lex_aoa_std,0.3652933853351072
lex_freq_std,0.35366882997131954
den_adverbs,0.35181169203755747
lex_img_skew,0.29736842337598596
den_words_utt_iqr12,0.2548282795691167
den_words_utt_q2,0.2495661676746365
den_OCW,0.23799839647207452
lex_ttr,0.21534311305843418
lex_img_std,0.2090165265308502
dys_pause_sec_iqr23,0.1700622329561938
dys_pause_sec_kurt,0.16744312008984696
lex_fam_q2,0.16590760492264536
lex_img_iqr12,0.16065068695451035
den_words_utt_std,0.14744128824601924
lex_phones_kurt,0.13289145321755486
dys_pause_sec_q2,0.1205796432586043
lex_phones_q1,0.11455051447766526
lex_img_q2,0.11185831804283704
den_words_utt_q3,0.11126730726883335
dys_pause_sec_skew,0.11096082532857193
lex_aoa_q3,0.10783103426334284
lex_freq_q2,0.09872435593594728
dys_short_pauses_per_min,0.09539730978761539
lex_img_mean,0.09376596909256611
den_W,0.09327540070979899
den_words_utt_iqr13,0.09320772171072067
lex_aoa_range01_99,0.09295120373371484
lex_aoa_skew,0.0923834417597835
lex_img_p99,0.0913599497409108
lex_fam_kurt,0.09127605533287156
dys_pause_sec_p01,0.08890541919181619
lex_freq_iqr12,0.08874030427390063
lex_freq_range01_99,0.06567152304968635
dys_pause_sec_iqr12,0.0648065535563911
dys_pauses_per_min,0.06109931430521983
lex_phones_skew,0.0609272331156681
dys_pause_sec_iqr13,0.060166991366767154
lex_phones_q2,0.05990520131438832
dys_short_pauses_per_word,0.058171979053200304
den_verbs,0.0551682820867279
lex_fam_iqr13,0.05333838126374131
lex_aoa_p99,0.05290824369306789
dys_long_pauses_per_min,0.04851938673386542
lex_img_iqr23,0.046870814944523886
lex_freq_mean,0.045020417936218596
dys_pause_sec_mean,0.043532772190624354
lex_aoa_q2,0.04165225625853506
lex_aoa_iqr23,0.04096350235781356
lex_fam_q1,0.04071732600573787
den_words_utt_q1,0.04027881378961093
den_prepositions,0.033251725717723585
lex_phones_iqr12,0.03268084326326105
lex_phones_mean,0.0323206041266419
den_words_utt_iqr23,0.031697187508121845
dys_pause_sec_p99,0.030648712224298446
lex_aoa_p01,0.02961582512934916
lex_freq_skew,0.028989289150749466
dys_pause_sec_range01_99,0.02790916018351092
lex_img_kurt,0.027002213336912457
den_words_utt_skew,0.026728871523881398
lex_img_range01_99,0.020500069426681346
lex_freq_iqr13,0.019503844117732424
den_determiners,0.016250711905290757
den_pronoun_ratio,0.015541994004800767
dys_pause_sec_std,0.014236886865456941
den_function_words,0.012720469104207696
dys_pause_sec_q3,0.009588238235001215
den_words_utt_kurt,0.009395933316426377
lex_phones_iqr23,0.008126105462534157
lex_fam_q3,0.007771908955182847
lex_aoa_iqr12,0.007684554918789753
dys_long_pauses_per_word,0.006936088399168327
lex_freq_iqr23,0.006688746024369599
dys_fillers_per_min,0.005861753659128565
lex_aoa_iqr13,0.0037351147923996263
lex_freq_q1,0.0
den_words_utt_p01,0.0
den_words_utt_mean,0.0
den_words_utt_range01_99,0.0
dys_pause_sec_q1,0.0
dys_fillers_per_phone,0.0
dys_pauses_per_word,0.0
dys_fillers_per_word,0.0
den_words_utt_p99,0.0
lex_img_q1,0.0
lex_img_q3,0.0
lex_aoa_q1,0.0
lex_img_iqr13,0.0
lex_img_p01,0.0
lex_freq_q3,0.0
lex_freq_p01,0.0
lex_freq_kurt,0.0
lex_aoa_mean,0.0
lex_aoa_kurt,0.0
lex_fam_mean,0.0
lex_fam_range01_99,0.0
lex_fam_p99,0.0
lex_fam_p01,0.0
lex_phones_q3,0.0
lex_fam_std,0.0
lex_phones_iqr13,0.0
lex_phones_p01,0.0
