mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,param_svr__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011407613754272461,0.0017268783196784875,0.005488300323486328,0.0016528211650322158,0.1,0.01,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.50698931675621,-25.016267290873216,-13.589614675377064,-14.559093526345585,-22.13479130834952,-19.361351223540318,4.4866118671294695,43
0.01648097038269043,0.0012438039327297304,0.00595698356628418,0.0018350536083938166,0.1,0.01,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.50698931675621,-25.016267290873216,-13.589614675377064,-14.559093526345585,-22.13479130834952,-19.361351223540318,4.4866118671294695,43
0.011347770690917969,0.0015897600108017208,0.0046291351318359375,0.0014862401602085435,0.1,0.1,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.508712593440528,-25.030714729690455,-13.590007579173594,-14.562827789711198,-22.16091483069277,-19.37063550454171,4.49275424267364,45
0.01516270637512207,0.0026476733266791205,0.004668474197387695,0.0013070512794517714,0.1,0.1,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.508712593440528,-25.030714729690455,-13.590007579173594,-14.562827789711198,-22.16091483069277,-19.37063550454171,4.49275424267364,45
0.014926910400390625,0.0027751634537293043,0.005681514739990234,0.0014728247467945918,0.1,1.0,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.506353910521554,-25.06376726651606,-13.594316427374476,-14.488700232755939,-21.783682190182144,-19.287364005470035,4.471248596137022,41
0.011864089965820312,0.0023073922485487217,0.003820466995239258,0.00011471649606812338,0.1,1.0,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.506353910521554,-25.06376726651606,-13.594316427374476,-14.488700232755939,-21.783682190182144,-19.287364005470035,4.471248596137022,41
0.010799980163574219,0.002430943942178735,0.004926490783691406,0.0015876654433073024,0.1,5.0,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 5, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.70831170046937,-25.330093577319772,-13.603506138372556,-14.513773093710178,-22.474952272083815,-19.526127356391136,4.633457847771372,47
0.009852075576782226,0.0004296157942435281,0.005795335769653321,0.0010968979782756273,0.1,5.0,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 5, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.70831170046937,-25.330093577319772,-13.603506138372556,-14.513773093710178,-22.474952272083815,-19.526127356391136,4.633457847771372,47
0.010812854766845703,0.0023094243516045576,0.005030345916748047,0.0012776147269899026,0.1,10.0,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 10, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.38014953480879,-25.517151875379398,-13.651046257501546,-14.47699529939451,-23.051053185784102,-19.61527923057367,4.727059282303833,49
0.011094903945922852,0.003143024950976267,0.004620599746704102,0.001606122371423848,0.1,10.0,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 10, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.38014953480879,-25.517151875379398,-13.651046257501548,-14.47699529939451,-23.051053185784102,-19.61527923057367,4.727059282303832,49
0.017741298675537108,0.001785233218894922,0.007163429260253906,0.00019373862637141147,1.0,0.01,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-19.18142558706904,-21.69615228261908,-12.284766670445281,-11.884965976912598,-16.70139016949709,-16.34974013730862,3.825818622169357,31
0.016243982315063476,0.0016543724942083475,0.0074404716491699215,0.00039588040931699115,1.0,0.01,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-19.18142558706904,-21.69615228261908,-12.284766670445281,-11.884965976912598,-16.70139016949709,-16.34974013730862,3.825818622169357,31
0.013344097137451171,0.003992479075384683,0.004743432998657227,0.0018268581110292088,1.0,0.1,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-19.182807132369856,-21.703468231739166,-12.29399964654988,-11.877853653257285,-16.73305085197937,-16.358235903179114,3.828368816506946,33
0.017084932327270506,0.002031150570732566,0.005803489685058593,0.001900148454545662,1.0,0.1,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-19.182807132369856,-21.703468231739166,-12.29399964654988,-11.877853653257285,-16.73305085197937,-16.358235903179114,3.828368816506946,33
0.017198801040649414,0.00106792982655045,0.005256843566894531,0.0015038721621188883,1.0,1.0,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-19.244464281482497,-21.80283563214199,-12.285111615126583,-11.879258963372605,-16.59456893515247,-16.361247885455228,3.8647474508796527,35
0.017150449752807616,0.0013479117660468033,0.0054873466491699215,0.001522997710895174,1.0,1.0,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-19.244464281482497,-21.80283563214199,-12.285111615126583,-11.879258963372605,-16.594568935152466,-16.361247885455228,3.864747450879652,35
0.013305759429931641,0.0020662527504425442,0.004083490371704102,0.0010680181020610896,1.0,5.0,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 5, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-19.11352942488719,-21.70029356606166,-12.215803899031366,-11.937261800564412,-16.10318914436839,-16.214015566982603,3.815626520287925,27
0.012408590316772461,0.0026929479158069023,0.004033613204956055,0.0008037902892232878,1.0,5.0,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 5, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-19.11352942488719,-21.700293566061656,-12.21580389903137,-11.937261800564412,-16.103189144368386,-16.214015566982603,3.8156265202879234,27
0.009036684036254882,0.0017026197298842705,0.004210329055786133,0.0012744291286410354,1.0,10.0,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 10, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-18.803547061494864,-21.43683035530511,-12.425160044696911,-12.175112874857868,-17.522556825589753,-16.4726414323889,3.6339915336607422,39
