ID,Config,Features,POS_LM,Total_Features,DEN,DYS,LEX,POSLM,CV_MAE,CV_RMSE,CV_R2,CV_Pearson,CV_Spearman,Calibrated_MAE,Calibrated_RMSE,Calibrated_R2,Calibrated_Pearson,Calibrated_Spearman,Acc_10,Severity_Acc,Delta_MAE_vs_Paper,Delta_Pearson_vs_Paper,SVR_Kernel,SVR_C,SVR_Epsilon,SVR_Gamma,ES_MAE_raw,ES_MAE_calibrated,ES_R2_calibrated,ES_Pearson_calibrated,Dataset,N_samples_train,N_samples_eval_ES,CV_Strategy,Excluded_Features,Notes
A1,SIMPLE_NO-POSLM,simple,none,29.0,18.0,10.0,1.0,0.0,13.54,18.562,0.39,0.659,0.66,12.859,17.081,0.483,0.695,0.68,51.31,56.56,3.68,-0.104,rbf,10.0,5.0,auto,23.88,18.46,-3.77,0.135,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,Baseline con 29 features simples
A2,FULL_NO-POSLM,full,none,64.0,42.0,22.0,0.0,0.0,15.078,20.185,0.278,0.558,0.558,14.663,18.854,0.37,0.609,0.582,42.24,49.64,5.48,-0.19,rbf,10.0,5.0,auto,18.1,15.59,-2.03,0.082,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,Full features sin selección
A3,SFS_NO-POSLM,sfs,none,12.0,8.0,4.0,0.0,0.0,12.863,17.767,0.441,0.686,0.668,12.098,16.099,0.541,0.735,0.686,52.74,59.67,2.92,-0.064,rbf,10.0,0.01,scale,19.05,14.93,-1.57,0.207,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,SFS sin POS-LM - mejor sin POS-LM
B1,FULL_POSLM-KN,full,kneser-ney,94.0,42.0,22.0,0.0,30.0,15.489,21.915,0.149,0.492,0.55,15.035,19.592,0.32,0.566,0.575,38.19,49.4,5.85,-0.233,rbf,10.0,5.0,auto,22.21,17.9,-3.54,0.136,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,Full con KN - overfitting
B2,SFS_POSLM-KN,sfs,kneser-ney,28.0,11.0,6.0,0.0,11.0,12.992,18.203,0.413,0.678,0.673,11.892,16.131,0.539,0.734,0.696,53.46,63.25,2.71,-0.065,rbf,10.0,0.01,scale,19.51,14.88,-1.54,0.252,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,SFS + KN - segundo mejor overall
C1,FULL_POSLM-BO,full,backoff,94.0,42.0,22.0,0.0,30.0,15.522,22.002,0.143,0.487,0.547,15.066,19.601,0.319,0.565,0.576,39.14,50.12,5.89,-0.234,rbf,10.0,5.0,auto,22.0,17.74,-3.47,0.138,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,Full con Backoff - overfitting
C2,SFS_POSLM-BO,sfs,backoff,28.0,11.0,6.0,0.0,11.0,13.0,18.209,0.413,0.678,0.673,11.918,16.144,0.538,0.734,0.696,52.98,63.25,2.74,-0.065,rbf,10.0,0.01,scale,19.3,14.69,-1.45,0.267,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,SFS + Backoff - equivalente a B2
D1,FULL_POSLM-ALL,full,all,124.0,42.0,22.0,0.0,60.0,15.631,22.216,0.126,0.477,0.539,15.255,19.855,0.302,0.549,0.569,40.1,51.07,6.08,-0.25,rbf,10.0,1.0,auto,20.41,16.47,-2.71,0.165,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,Full con KN+BO - más overfitting
D2,SFS_POSLM-ALL,sfs,all,38.0,11.0,6.0,0.0,21.0,12.761,17.933,0.43,0.688,0.676,11.873,16.118,0.54,0.735,0.701,54.18,62.77,2.69,-0.064,rbf,10.0,0.01,scale,19.38,14.61,-1.42,0.275,AphasiaBank,419,4.0,GroupKFold-4,lex_ttr,SFS + ALL - mejor overall
PAPER,Le et al. 2018 (Auto),reference,reference,43.0,18.0,10.0,6.0,2.0,9.18,,,0.799,,9.24,,,0.786,,,,0.0,0.0,,,,,,,,,AphasiaBank (EN only),348,,Speaker-independent 4-fold CV,,"Le et al. (2018), Combined protocol, Auto vs Calibrated. SVR con features transcript-based y ASR automático."
